country,year,organism,antibiotic,pct_resistant,total_isolates,source_type,source
Estonia,2015,Salmonella spp.,CHL,2.7,73,human,EFSA
Finland,2015,Salmonella spp.,CHL,2.9,313,human,EFSA
France,2015,Salmonella spp.,CHL,11.2,1047,human,EFSA
France,2015,Salmonella spp.,CHL,14.8,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,CHL,5.2,1816,human,EFSA
Germany,2015,Salmonella spp.,CHL,17.6,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,CHL,1.6,510,human,EFSA
Hungary,2015,Salmonella spp.,CHL,9.4,777,human,EFSA
Hungary,2015,Salmonella spp.,CHL,25.0,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,CHL,7.0,199,human,EFSA
Ireland,2015,Salmonella spp.,CHL,21.2,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,CHL,11.3,71,human,EFSA
Italy,2015,Salmonella spp.,CHL,11.0,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,CHL,1.4,438,human,EFSA
Luxembourg,2015,Salmonella spp.,CHL,3.8,106,human,EFSA
Malta,2015,Salmonella spp.,CHL,6.3,0,meat_pork,EFSA
Netherlands,2015,Salmonella spp.,CHL,5.1,787,human,EFSA
Norway,2015,Salmonella spp.,CHL,7.5,120,human,EFSA
Poland,2015,Salmonella spp.,CHL,20.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,CHL,8.6,140,human,EFSA
Portugal,2015,Salmonella spp.,CHL,20.8,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,CHL,3.6,169,human,EFSA
Romania,2015,Salmonella spp.,CHL,4.3,0,meat_pork,EFSA
Slovenia,2015,Salmonella spp.,CHL,4.9,390,human,EFSA
Spain,2015,Salmonella spp.,CHL,7.3,1996,human,EFSA
Spain,2015,Salmonella spp.,CHL,19.5,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,CHL,6.3,568,human,EFSA
United Kingdom,2015,Salmonella spp.,CHL,11.1,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,CIP,22.4,1556,human,EFSA
Belgium,2015,Salmonella spp.,CIP,4.4,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,CIP,18.2,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,CIP,25.0,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,CIP,4.0,275,human,EFSA
Estonia,2015,Salmonella spp.,CIP,8.2,73,human,EFSA
Finland,2015,Salmonella spp.,CIP,9.3,313,human,EFSA
France,2015,Salmonella spp.,CIP,21.8,1052,human,EFSA
France,2015,Salmonella spp.,CIP,0.9,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,CIP,1.6,1817,human,EFSA
Germany,2015,Salmonella spp.,CIP,2.0,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,CIP,0.4,509,human,EFSA
Hungary,2015,Salmonella spp.,CIP,36.7,791,human,EFSA
Hungary,2015,Salmonella spp.,CIP,12.5,0,meat_pork,EFSA
Iceland,2015,Salmonella spp.,CIP,12.5,16,human,EFSA
Ireland,2015,Salmonella spp.,CIP,15.6,199,human,EFSA
Ireland,2015,Salmonella spp.,CIP,1.5,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,CIP,11.3,71,human,EFSA
Italy,2015,Salmonella spp.,CIP,7.7,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,CIP,14.1,672,human,EFSA
Luxembourg,2015,Salmonella spp.,CIP,17.9,106,human,EFSA
Malta,2015,Salmonella spp.,CIP,61.1,126,human,EFSA
Netherlands,2015,Salmonella spp.,CIP,13.2,787,human,EFSA
Norway,2015,Salmonella spp.,CIP,4.0,350,human,EFSA
Poland,2015,Salmonella spp.,CIP,40.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,CIP,10.0,140,human,EFSA
Portugal,2015,Salmonella spp.,CIP,8.3,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,CIP,10.1,169,human,EFSA
Romania,2015,Salmonella spp.,CIP,8.7,0,meat_pork,EFSA
Slovakia,2015,Salmonella spp.,CIP,1.3,385,human,EFSA
Slovenia,2015,Salmonella spp.,CIP,21.8,390,human,EFSA
Spain,2015,Salmonella spp.,CIP,9.7,1998,human,EFSA
Spain,2015,Salmonella spp.,CIP,7.0,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,CIP,1.8,563,human,EFSA
United Kingdom,2015,Salmonella spp.,CIP,11.1,0,meat_pork,EFSA
Belgium,2015,Salmonella spp.,COL,1.1,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,COL,2.9,275,human,EFSA
Denmark,2015,Salmonella spp.,COL,1.3,0,meat_pork,EFSA
France,2015,Salmonella spp.,COL,1.7,0,meat_pork,EFSA
Malta,2015,Salmonella spp.,COL,6.3,0,meat_pork,EFSA
Netherlands,2015,Salmonella spp.,COL,16.9,787,human,EFSA
Portugal,2015,Salmonella spp.,COL,6.3,0,meat_pork,EFSA
Spain,2015,Salmonella spp.,COL,0.8,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,GEN,1.1,1556,human,EFSA
Belgium,2015,Salmonella spp.,GEN,0.5,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,GEN,3.2,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,GEN,16.7,54,human,EFSA
Cyprus,2015,Salmonella spp.,GEN,50.0,0,meat_pork,EFSA
Czech Republic,2015,Salmonella spp.,GEN,9.1,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,GEN,0.7,275,human,EFSA
Denmark,2015,Salmonella spp.,GEN,3.6,0,meat_pork,EFSA
Estonia,2015,Salmonella spp.,GEN,1.4,73,human,EFSA
Finland,2015,Salmonella spp.,GEN,1.6,313,human,EFSA
France,2015,Salmonella spp.,GEN,7.5,1051,human,EFSA
France,2015,Salmonella spp.,GEN,1.7,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,GEN,1.4,1817,human,EFSA
Germany,2015,Salmonella spp.,GEN,3.9,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,GEN,0.4,507,human,EFSA
Hungary,2015,Salmonella spp.,GEN,0.9,777,human,EFSA
Ireland,2015,Salmonella spp.,GEN,3.5,199,human,EFSA
Ireland,2015,Salmonella spp.,GEN,22.7,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,GEN,2.2,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,GEN,0.6,359,human,EFSA
Luxembourg,2015,Salmonella spp.,GEN,0.9,106,human,EFSA
Netherlands,2015,Salmonella spp.,GEN,1.1,787,human,EFSA
Norway,2015,Salmonella spp.,GEN,2.0,350,human,EFSA
Portugal,2015,Salmonella spp.,GEN,0.7,140,human,EFSA
Romania,2015,Salmonella spp.,GEN,1.2,169,human,EFSA
Romania,2015,Salmonella spp.,GEN,4.3,0,meat_pork,EFSA
Slovenia,2015,Salmonella spp.,GEN,1.0,390,human,EFSA
Spain,2015,Salmonella spp.,GEN,3.8,1999,human,EFSA
Spain,2015,Salmonella spp.,GEN,0.8,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,GEN,1.4,553,human,EFSA
United Kingdom,2015,Salmonella spp.,GEN,11.1,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,NAL,22.1,1556,human,EFSA
Belgium,2015,Salmonella spp.,NAL,3.8,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,NAL,3.9,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,NAL,4.0,275,human,EFSA
Denmark,2015,Salmonella spp.,NAL,0.7,0,meat_pork,EFSA
Estonia,2015,Salmonella spp.,NAL,9.1,22,human,EFSA
Finland,2015,Salmonella spp.,NAL,8.9,313,human,EFSA
France,2015,Salmonella spp.,NAL,19.5,1051,human,EFSA
France,2015,Salmonella spp.,NAL,0.9,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,NAL,10.2,1817,human,EFSA
Greece,2015,Salmonella spp.,NAL,3.7,509,human,EFSA
Hungary,2015,Salmonella spp.,NAL,12.5,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,NAL,13.6,199,human,EFSA
Ireland,2015,Salmonella spp.,NAL,1.5,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,NAL,9.9,71,human,EFSA
Italy,2015,Salmonella spp.,NAL,6.6,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,NAL,25.7,350,human,EFSA
Netherlands,2015,Salmonella spp.,NAL,10.7,787,human,EFSA
Norway,2015,Salmonella spp.,NAL,7.5,120,human,EFSA
Poland,2015,Salmonella spp.,NAL,30.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,NAL,7.9,140,human,EFSA
Portugal,2015,Salmonella spp.,NAL,4.2,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,NAL,11.2,169,human,EFSA
Romania,2015,Salmonella spp.,NAL,4.3,0,meat_pork,EFSA
Spain,2015,Salmonella spp.,NAL,19.5,1998,human,EFSA
Spain,2015,Salmonella spp.,NAL,6.3,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,NAL,16.4,573,human,EFSA
United Kingdom,2015,Salmonella spp.,NAL,11.1,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,SUL,15.7,1556,human,EFSA
Belgium,2015,Salmonella spp.,SUL,40.4,0,meat_pork,EFSA
Bulgaria,2015,Salmonella spp.,SUL,100.0,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,SUL,35.5,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,SUL,100.0,0,meat_pork,EFSA
Czech Republic,2015,Salmonella spp.,SUL,21.7,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,SUL,42.5,275,human,EFSA
Denmark,2015,Salmonella spp.,SUL,38.5,0,meat_pork,EFSA
Estonia,2015,Salmonella spp.,SUL,20.5,73,human,EFSA
Estonia,2015,Salmonella spp.,SUL,20.0,0,meat_pork,EFSA
France,2015,Salmonella spp.,SUL,40.7,1052,human,EFSA
France,2015,Salmonella spp.,SUL,53.9,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,SUL,56.9,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,SUL,16.1,504,human,EFSA
Hungary,2015,Salmonella spp.,SUL,75.0,0,meat_pork,EFSA
Iceland,2015,Salmonella spp.,SUL,28.6,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,SUL,33.2,199,human,EFSA
Ireland,2015,Salmonella spp.,SUL,71.2,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,SUL,49.3,71,human,EFSA
Italy,2015,Salmonella spp.,SUL,46.2,0,meat_pork,EFSA
Latvia,2015,Salmonella spp.,SUL,100.0,0,meat_pork,EFSA
Luxembourg,2015,Salmonella spp.,SUL,53.8,106,human,EFSA
Malta,2015,Salmonella spp.,SUL,62.5,0,meat_pork,EFSA
Netherlands,2015,Salmonella spp.,SUL,29.1,787,human,EFSA
Poland,2015,Salmonella spp.,SUL,70.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,SUL,45.7,140,human,EFSA
Portugal,2015,Salmonella spp.,SUL,70.8,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,SUL,20.1,169,human,EFSA
Romania,2015,Salmonella spp.,SUL,30.4,0,meat_pork,EFSA
Slovakia,2015,Salmonella spp.,SUL,27.3,0,meat_pork,EFSA
Slovenia,2015,Salmonella spp.,SUL,26.7,389,human,EFSA
Spain,2015,Salmonella spp.,SUL,47.6,1997,human,EFSA
Spain,2015,Salmonella spp.,SUL,57.8,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,SUL,22.7,550,human,EFSA
United Kingdom,2015,Salmonella spp.,SUL,44.4,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,TET,16.0,1556,human,EFSA
Belgium,2015,Salmonella spp.,TET,33.9,0,meat_pork,EFSA
Bulgaria,2015,Salmonella spp.,TET,100.0,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,TET,41.9,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,TET,18.9,37,human,EFSA
Cyprus,2015,Salmonella spp.,TET,100.0,0,meat_pork,EFSA
Czech Republic,2015,Salmonella spp.,TET,13.0,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,TET,30.9,275,human,EFSA
Denmark,2015,Salmonella spp.,TET,30.8,0,meat_pork,EFSA
Estonia,2015,Salmonella spp.,TET,20.5,73,human,EFSA
Estonia,2015,Salmonella spp.,TET,20.0,0,meat_pork,EFSA
Finland,2015,Salmonella spp.,TET,13.7,313,human,EFSA
France,2015,Salmonella spp.,TET,41.8,1052,human,EFSA
France,2015,Salmonella spp.,TET,54.8,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,TET,26.3,1817,human,EFSA
Germany,2015,Salmonella spp.,TET,62.7,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,TET,9.6,510,human,EFSA
Hungary,2015,Salmonella spp.,TET,58.0,69,human,EFSA
Hungary,2015,Salmonella spp.,TET,75.0,0,meat_pork,EFSA
Iceland,2015,Salmonella spp.,TET,28.6,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,TET,34.2,199,human,EFSA
Ireland,2015,Salmonella spp.,TET,62.1,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,TET,50.7,71,human,EFSA
Italy,2015,Salmonella spp.,TET,51.6,0,meat_pork,EFSA
Latvia,2015,Salmonella spp.,TET,100.0,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,TET,17.1,351,human,EFSA
Luxembourg,2015,Salmonella spp.,TET,47.6,105,human,EFSA
Malta,2015,Salmonella spp.,TET,25.0,0,meat_pork,EFSA
Netherlands,2015,Salmonella spp.,TET,29.9,787,human,EFSA
Norway,2015,Salmonella spp.,TET,38.3,120,human,EFSA
Poland,2015,Salmonella spp.,TET,60.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,TET,50.7,140,human,EFSA
Portugal,2015,Salmonella spp.,TET,83.3,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,TET,14.8,169,human,EFSA
Romania,2015,Salmonella spp.,TET,34.8,0,meat_pork,EFSA
Slovakia,2015,Salmonella spp.,TET,7.3,423,human,EFSA
Slovakia,2015,Salmonella spp.,TET,18.2,0,meat_pork,EFSA
Slovenia,2015,Salmonella spp.,TET,16.2,390,human,EFSA
Spain,2015,Salmonella spp.,TET,43.9,1998,human,EFSA
Spain,2015,Salmonella spp.,TET,73.4,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,TET,24.0,551,human,EFSA
United Kingdom,2015,Salmonella spp.,TET,33.3,0,meat_pork,EFSA
Belgium,2015,Salmonella spp.,TIGECYCLIN,1.6,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,TIGECYCLIN,1.0,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,TIGECYCLIN,4.7,0,human,EFSA
France,2015,Salmonella spp.,TIGECYCLIN,1.4,0,human,EFSA
France,2015,Salmonella spp.,TIGECYCLIN,4.7,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,TIGECYCLIN,3.9,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,TIGECYCLIN,7.6,0,meat_pork,EFSA
Netherlands,2015,Salmonella spp.,TIGECYCLIN,2.2,0,human,EFSA
Portugal,2015,Salmonella spp.,TIGECYCLIN,20.8,0,meat_pork,EFSA
Spain,2015,Salmonella spp.,TIGECYCLIN,3.9,0,meat_pork,EFSA
Austria,2015,Salmonella spp.,TMP,2.0,203,human,EFSA
Belgium,2015,Salmonella spp.,TMP,16.9,0,meat_pork,EFSA
Croatia,2015,Salmonella spp.,TMP,16.1,0,meat_pork,EFSA
Cyprus,2015,Salmonella spp.,TMP,75.0,0,meat_pork,EFSA
Czech Republic,2015,Salmonella spp.,TMP,4.3,0,meat_pork,EFSA
Denmark,2015,Salmonella spp.,TMP,10.9,64,human,EFSA
Denmark,2015,Salmonella spp.,TMP,10.3,0,meat_pork,EFSA
Estonia,2015,Salmonella spp.,TMP,8.3,12,human,EFSA
Estonia,2015,Salmonella spp.,TMP,10.0,0,meat_pork,EFSA
Finland,2015,Salmonella spp.,TMP,2.5,80,human,EFSA
France,2015,Salmonella spp.,TMP,40.4,141,human,EFSA
France,2015,Salmonella spp.,TMP,7.8,0,meat_pork,EFSA
Germany,2015,Salmonella spp.,TMP,17.6,0,meat_pork,EFSA
Greece,2015,Salmonella spp.,TMP,7.9,63,human,EFSA
Hungary,2015,Salmonella spp.,TMP,3.5,256,human,EFSA
Iceland,2015,Salmonella spp.,TMP,28.6,0,meat_pork,EFSA
Ireland,2015,Salmonella spp.,TMP,8.7,46,human,EFSA
Ireland,2015,Salmonella spp.,TMP,24.2,0,meat_pork,EFSA
Italy,2015,Salmonella spp.,TMP,9.1,11,human,EFSA
Italy,2015,Salmonella spp.,TMP,5.5,0,meat_pork,EFSA
Lithuania,2015,Salmonella spp.,TMP,8.9,45,human,EFSA
Luxembourg,2015,Salmonella spp.,TMP,3.1,32,human,EFSA
Netherlands,2015,Salmonella spp.,TMP,14.1,184,human,EFSA
Poland,2015,Salmonella spp.,TMP,10.0,0,meat_pork,EFSA
Portugal,2015,Salmonella spp.,TMP,4.3,23,human,EFSA
Portugal,2015,Salmonella spp.,TMP,50.0,0,meat_pork,EFSA
Romania,2015,Salmonella spp.,TMP,7.0,43,human,EFSA
Romania,2015,Salmonella spp.,TMP,21.7,0,meat_pork,EFSA
Slovakia,2015,Salmonella spp.,TMP,9.1,0,meat_pork,EFSA
Slovenia,2015,Salmonella spp.,TMP,6.3,48,human,EFSA
Spain,2015,Salmonella spp.,TMP,10.6,226,human,EFSA
Spain,2015,Salmonella spp.,TMP,21.1,0,meat_pork,EFSA
United Kingdom,2015,Salmonella spp.,TMP,9.3,129,human,EFSA
United Kingdom,2015,Salmonella spp.,TMP,11.1,0,meat_pork,EFSA
EU/EEA,2020,"Streptococcus
pneumoniae",COMBINED,0.24,0,,ECDC_PDF
EU/EEA,2021,"Streptococcus
pneumoniae",COMBINED,0.28,0,,ECDC_PDF
EU/EEA,2022,"Streptococcus
pneumoniae",COMBINED,0.34,0,,ECDC_PDF
EU/EEA,2023,"Streptococcus
pneumoniae",COMBINED,0.43,0,,ECDC_PDF
EU/EEA,2024,"Streptococcus
pneumoniae",COMBINED,0.55,0,,ECDC_PDF
EU/EEA,2020,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.55,0,,ECDC_PDF
EU/EEA,2020,"Streptococcus
pneumoniae",ENTEROCOCCUS,1.76,0,,ECDC_PDF
EU/EEA,2021,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.94,0,,ECDC_PDF
EU/EEA,2021,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.15,0,,ECDC_PDF
EU/EEA,2022,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.45,0,,ECDC_PDF
EU/EEA,2022,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.06,0,,ECDC_PDF
EU/EEA,2023,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.31,0,,ECDC_PDF
EU/EEA,2023,"Streptococcus
pneumoniae",ENTEROCOCCUS,1.93,0,,ECDC_PDF
EU/EEA,2024,"Streptococcus
pneumoniae",ENTEROCOCCUS,2.2,0,,ECDC_PDF
EU/EEA,2024,"Streptococcus
pneumoniae",ENTEROCOCCUS,1.96,0,,ECDC_PDF
EU/EEA,2020,"Streptococcus
pneumoniae",MACROLIDE,0.51,0,,ECDC_PDF
EU/EEA,2021,"Streptococcus
pneumoniae",MACROLIDE,0.53,0,,ECDC_PDF
EU/EEA,2022,"Streptococcus
pneumoniae",MACROLIDE,0.73,0,,ECDC_PDF
EU/EEA,2023,"Streptococcus
pneumoniae",MACROLIDE,0.95,0,,ECDC_PDF
EU/EEA,2024,"Streptococcus
pneumoniae",MACROLIDE,1.12,0,,ECDC_PDF
EU/EEA,2020,"Streptococcus
pneumoniae",PENICILLIN,0.47,0,,ECDC_PDF
EU/EEA,2021,"Streptococcus
pneumoniae",PENICILLIN,0.51,0,,ECDC_PDF
EU/EEA,2022,"Streptococcus
pneumoniae",PENICILLIN,0.63,0,,ECDC_PDF
EU/EEA,2023,"Streptococcus
pneumoniae",PENICILLIN,0.76,0,,ECDC_PDF
EU/EEA,2024,"Streptococcus
pneumoniae",PENICILLIN,0.99,0,,ECDC_PDF
